Empoyee_No,Empoyee_Name,FirstName,LastName,JobGrade,Contract_Type,Birthday,Status,Sex,Age,Update_DT,Create_DT


,
,,
,,,
,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,,
Test,,,,,,,,,,,
Test,Test,,,,,,,,,,
Test,Test,Test,,,,,,,,,
Test,Test,Test,Test,,,,,,,,
Test,Test,Test,Test,Test,,,,,,,
Test,Test,Test,Test,Test,Test,,,,,,
Test,Test,Test,Test,Test,Test,Test,,,,,
Test,Test,Test,Test,Test,Test,Test,Test,,,,
Test,Test,Test,Test,Test,Test,Test,Test,Test,,,
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,,
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
AB0001,Tuyet Bogisich,Tuyet,Bogisich,15,P,1961-11-07,Single,Female,42,2019-03-16,2018-09-02
AB0002,Larry Smitham,Larry,Smitham,15,C,1983-10-08,
Single,Female,37,2019-03-12,2018-11-28
AB0003,Charlie Lang,Charlie,Lang,12,P,1970-12-07,Single,Male,32,2019-12-09,2018-12-18
AB0004,Jonas Senger,Jonas,Senger,11,C,1993-02-18,Marry,Female,44,2019-03-05,2018-11-08
AB0005,Don Wisoky,Don,Wisoky,13,C,1969-08-14,Single,Male,48,2019-10-16,2018-03-09
AB0006,Diego Lind,Diego,Lind,18,C,1985-06-10,Single,Male,43,2019-10-29,2018-08-01
AB0007,Marcus McCullough,Marcus,McCullough,15,P,1981-06-21,Single,Male,43,2019-06-27,2018-11-26
AB0008,Bebe Watsica,Bebe,Watsica,14,C,1991-12-22,Single,Female,49,2019-05-03,2018-03-06
AB0009,Darwin Nolan,Darwin,Nolan,14,C,1989-09-28,Marry,Female,28,2019-02-18,2018-04-04
AB0010,Sixta Wiza,Sixta,Wiza,10,C,1969-11-22,Single,Male,37,2019-07-29,2018-04-05
AB0011,Jarrod McGlynn,Jarrod,McGlynn,18,C,1986-10-20,Single,Female,42,2019-01-30,2018-05-30
AB0012,Jarrod Fahey,Jarrod,Fahey,17,C,1981-02-24,Single,Female,27,2019-02-01,2018-11-01
AB0013,Jarred Weimann,Jarred,Weimann,17,C,1994-02-09,Marry,Male,34,2019-12-27,2018-10-29
AB0014,Shaun Conn,Shaun,Conn,17,P,1961-03-14,Marry,Male,45,2019-05-03,2018-03-10
AB0015,Stanley Hilll,Stanley,Hilll,19,P,1964-11-13,Single,Female,29,2019-12-21,2018-01-13
AB0016,Dick Prohaska,Dick,Prohaska,10,P,1959-11-01,Single,Male,35,2019-06-11,2018-02-01
AB0017,Jefferey Lang,Jefferey,Lang,15,P,1969-05-29,Marry,Female,40,2019-08-25,2018-03-01
AB0018,Keith Little,Keith,Little,16,C,1992-05-24,Single,Female,41,2019-02-28,2018-10-05
AB0019,Waltraud Fahey,Waltraud,Fahey,16,P,1980-03-18,Single,Female,39,2019-10-26,2018-10-30
AB0020,Damon Stroman,Damon,Stroman,11,C,1996-09-29,Single,Male,36,2019-06-07,2018-04-12
