Empoyee_No,Empoyee_Name,FirstName,LastName,JobGrade,Contract_Type,Birthday,Status,Sex,Age,Update_DT,Create_DT


,
,,
,,,
,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,,
Test,,,,,,,,,,,
Test,Test,,,,,,,,,,
Test,Test,Test,,,,,,,,,
Test,Test,Test,Test,,,,,,,,
Test,Test,Test,Test,Test,,,,,,,
Test,Test,Test,Test,Test,Test,,,,,,
Test,Test,Test,Test,Test,Test,Test,,,,,
Test,Test,Test,Test,Test,Test,Test,Test,,,,
Test,Test,Test,Test,Test,Test,Test,Test,Test,,,
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,,
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
AB0001,Danilo Graham,Danilo,Graham,20,C,1976-02-28,Single,Male,30,2019-10-22,2018-04-18
AB0002,Lavinia Strosin,Lavinia,Strosin,14,P,1982-02-06,
Single,Male,42,2019-04-17,2018-12-03
AB0003,Cordie Schaden,Cordie,Schaden,19,P,1971-11-06,Single,Female,29,2019-09-20,2018-06-26
AB0004,Hilton Thiel,Hilton,Thiel,12,P,1968-11-09,Marry,Male,33,2019-02-22,2018-12-20
AB0005,Mercedez Huel,Mercedez,Huel,13,P,1983-08-29,Marry,Male,32,2019-08-10,2018-12-20
AB0006,Jaqueline Kulas,Jaqueline,Kulas,15,C,1957-11-24,Marry,Male,47,2019-12-15,2018-04-27
AB0007,Reva Roberts,Reva,Roberts,20,C,1975-02-23,Single,Male,47,2019-07-19,2018-08-04
AB0008,Belva Hegmann,Belva,Hegmann,11,C,1968-05-11,Single,Male,48,2019-04-03,2018-04-22
AB0009,Reginald Lindgren,Reginald,Lindgren,13,P,1974-12-14,Marry,Female,37,2019-01-25,2018-10-04
AB0010,France Price,France,Price,13,P,1966-10-16,Single,Female,47,2019-09-06,2018-08-31
AB0011,Kenna Keeling,Kenna,Keeling,20,C,1961-11-27,Single,Male,48,2019-12-05,2018-06-11
AB0012,Krysten Krajcik,Krysten,Krajcik,14,C,1977-03-18,Single,Female,34,2019-02-27,2018-09-30
AB0013,Dorian Rowe,Dorian,Rowe,10,P,1967-03-05,Single,Female,36,2019-11-11,2018-02-12
AB0014,Leeann Mayer,Leeann,Mayer,14,P,1958-02-11,Marry,Male,35,2019-02-09,2018-08-08
AB0015,Evan D'Amore,Evan,D'Amore,19,C,1973-07-28,Single,Male,49,2019-06-19,2018-10-14
AB0016,Josefine Feeney,Josefine,Feeney,18,C,1986-06-08,Single,Male,35,2019-04-22,2018-12-22
AB0017,Clare Nader,Clare,Nader,11,C,1968-03-24,Marry,Male,44,2019-10-06,2018-03-13
AB0018,Kiera Becker,Kiera,Becker,13,P,1969-01-01,Single,Female,43,2019-04-19,2018-04-29
AB0019,Kirk Hagenes,Kirk,Hagenes,16,C,1975-07-24,Single,Male,45,2019-05-17,2018-11-02
AB0020,Jess Kerluke,Jess,Kerluke,14,C,1979-07-22,Single,Female,27,2019-11-26,2018-08-31
